model_rank,grid_id,latitude,longitude,police_station,junction_name,history,peak_hour_weight_score,junction_proximity_score,repeat_hotspot_density_score,last_month,prev_month,station,trend_raw,trend,peak_junction,model_priority_score
2615,"12.975,77.555",12.975445933333333,77.5549401,Magadi Road,BTP071 - Prasanna Junction,27.74663456277014,0.0,100.0,3.8461538461538463,0.0,21.769696534268014,48.63333539606011,-21.769696534268014,26.910325738399717,45.0,19.422644193939096
2616,"13.184,77.69",13.184187197777778,77.68984325777778,Chikkajala,No Junction,27.735094290832205,15.555555555555555,0.0,5.944055944055944,0.0,21.34581043972266,15.217412810290316,-21.34581043972266,27.385350502048624,8.555555555555555,19.414566003582543
2617,"13.009,77.547",13.008989433333333,77.54723943333333,Rajajinagar,BTP023 - Mahalaxmi Layout Entrance,27.734669877910648,0.0,100.0,0.9615384615384616,0.0,0.0,37.834312884096626,0.0,51.30637242162633,45.0,19.414268914537452
2618,"13.023,77.638",13.022585918867923,77.63781789056604,Banaswadi,No Junction,27.714700509932527,11.320754716981133,0.0,9.401709401709404,0.0,0.0,5.906489326400098,0.0,51.30637242162633,6.2264150943396235,19.400290356952766
2619,"12.894,77.657",12.894172296474277,77.65710639065811,HSR Layout,No Junction,27.707830688627734,31.818181818181817,0.0,1.4615384615384615,0.0,8.989843053036202,14.955392558343007,-8.989843053036202,41.23197242015997,17.5,19.39548148203941
2620,"13.003,77.723",13.0033991125,77.72346834791666,K.R. Pura,No Junction,23.95515472441034,0.0,0.0,2.9352226720647767,8.747914324439288,6.808525686000394,9.800706427049683,0.7623623627693581,52.16070806945585,0.0,19.392982604419025
2621,"13.027,77.586",13.027092914285715,77.58587748,R.T. Nagar,No Junction,26.892231098466038,37.142857142857146,0.0,1.4423076923076923,1.865972197698968,5.160649117161736,10.938239690635935,-3.545742284863599,47.3328629989268,20.42857142857143,19.38435342823592
2622,"13.029,77.541",13.029166291666668,77.54071831666667,Yeshwanthpura,No Junction,21.614021860047785,50.0,0.0,0.641025641025641,14.167035070222163,5.201364276945577,12.288087141448248,7.059505288271814,59.21755392579033,27.500000000000004,19.379925823100095
2623,"12.995,77.611",12.99508912142857,77.61069849285714,Pulikeshinagar(F.Town),No Junction,27.68543550383977,0.0,0.0,5.161943319838056,0.0,0.0,11.307740281688305,0.0,51.30637242162633,0.0,19.379804852687837
2624,"12.953,77.572",12.953124433333334,77.57211163333334,V.V.Puram (C.Pet),BTP106 - VV Puram College,27.68376558232662,0.0,100.0,0.9615384615384616,0.0,21.63078909346717,54.48838186767004,-21.63078909346717,27.06599131715919,45.0,19.378635907628635
2625,"12.907,77.592",12.906803866666666,77.59193776666666,J.P. Nagar,BTP222 - Delmia Circle,27.678109549483956,0.0,100.0,0.9615384615384616,0.0,16.935483870967744,36.698253422450215,-16.935483870967744,32.3277497996343,45.0,19.374676684638768
2626,"12.947,77.602",12.9466927,77.60245546666665,Adugodi,BTP134 - Mico Bande,27.660923911231226,0.0,100.0,0.0,0.0,0.0,24.748951678622866,0.0,51.30637242162633,45.0,19.36264673786186
2627,"12.924,77.564",12.9240684,77.564084675,Banashankari,BTP158 - Devegowda Petrol Bunk,27.637623563611307,0.0,100.0,1.9230769230769231,0.0,0.0,25.321995368186393,0.0,51.30637242162633,45.0,19.346336494527915
2628,"12.917,77.598",12.9170202,77.5975805,Jayanagara,"BTP202 - East End Main Road, Jayanagar",27.62674023707463,0.0,100.0,0.0,0.0,0.0,57.472878338105055,0.0,51.30637242162633,45.0,19.338718165952237
2629,"12.914,77.481",12.914177995357884,77.48132284070093,Kengeri,No Junction,24.843988188666017,21.21212121212121,0.0,2.043269230769231,6.487733134915574,14.692886015813649,2.4136473076560594,-9.078073223521226,41.13309794321753,11.666666666666668,19.337111672540885
2630,"13.085,77.486",13.085203484210528,77.48646901578948,Chikkabanavara,No Junction,27.616788937528383,0.0,0.0,34.61538461538461,0.0,0.0,3.218058275371786,0.0,51.30637242162633,0.0,19.331752256269866
2631,"13.006,77.528",13.005746804545455,77.52777263636364,Rajajinagar,No Junction,22.128664965123075,13.636363636363635,0.0,1.3313609467455623,12.785454545932728,0.0,37.834312884096626,11.06517981657249,63.7064829577779,7.5,19.32570183936597
2632,"13.034,77.625",13.034281498113208,77.6246018245283,K.G. Halli,No Junction,27.5925023445007,1.8867924528301887,0.0,6.570512820512821,0.0,8.767873400110389,3.42877591591668,-8.767873400110389,41.480721042195825,1.0377358490566038,19.31475164115049
2633,"12.97,77.64",12.970107218181818,77.63987405227273,Jeevanbheemanagar,No Junction,27.56851508470411,27.27272727272727,0.0,1.6025641025641024,0.0,11.820842788478753,21.155098467257545,-11.820842788478753,38.05943385962736,15.0,19.297960559292875
2634,"12.909,77.588",12.909089633333332,77.58771786666667,J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar",27.56498889263056,0.0,100.0,0.9615384615384616,0.0,16.935483870967744,36.698253422450215,-16.935483870967744,32.3277497996343,45.0,19.29549222484139
2635,"13.057,77.473",13.057419629411765,77.47273475882353,No Police Station,No Junction,19.47515720628878,5.88235294117647,0.0,4.615384615384615,18.859178514585658,10.637629874141744,1.68080625831112,5.684058236909067,57.67616953292422,3.2352941176470593,19.290363598777844
2636,"12.873,77.594",12.872928720746868,77.59423392223707,Hulimavu,No Junction,27.55292288650699,15.555555555555555,0.0,10.43956043956044,0.0,22.80027984926224,6.30846288704514,-22.80027984926224,25.75541029784789,8.555555555555555,19.287046020554893
2637,"12.936,77.517",12.936302157894737,77.51699733684211,Byatarayanapura,No Junction,20.8597074018463,21.052631578947366,0.0,1.7307692307692306,15.616671152871014,1.2954429083461343,32.6032963136412,12.220015132038457,65.00064046811335,11.578947368421051,19.28679652715371
2638,"12.875,77.649",12.875079666037736,77.64879844339622,Hulimavu,No Junction,27.54518589465575,1.8867924528301887,0.0,2.153846153846154,0.0,13.30483805403082,6.30846288704514,-13.30483805403082,36.39640572696107,1.0377358490566038,19.281630126259024
2639,"12.971,77.648",12.970969654761905,77.64764985238097,Jeevanbheemanagar,No Junction,27.509501445892298,21.428571428571427,0.0,3.4615384615384612,0.0,2.5243215565796215,21.155098467257545,-2.5243215565796215,48.47751045559696,11.785714285714286,19.256651012124607
2640,"12.918,77.584",12.917993633333333,77.58366763333333,Jayanagara,"BTP177 - Aurobindo Circle, ORR",27.50842856420386,0.0,100.0,0.9615384615384616,0.0,0.0,57.472878338105055,0.0,51.30637242162633,45.0,19.255899994942702
2641,"12.937,77.607",12.936878966666667,77.6071012,Adugodi,BTP136 - Hosur-Tavarkere Road Junction,27.50842856420386,0.0,100.0,0.9615384615384616,0.0,0.0,24.748951678622866,0.0,51.30637242162633,45.0,19.255899994942702
2642,"12.968,77.6",12.967878533333334,77.60016183333333,Ashok Nagar,"BTP099 - Cash Pharmacy, Residency Road",27.496898958793803,0.0,100.0,0.0,0.0,0.0,33.15323442077926,0.0,51.30637242162633,45.0,19.247829271155663
2643,"12.937,77.579",12.936846075,77.579126,Basavanagudi,BTP187 - South End Circle,27.49334034119206,0.0,100.0,0.641025641025641,0.0,18.68855490313204,39.4852969650819,-18.68855490313204,30.363183932931904,45.0,19.24533823883444
2644,"12.978,77.564",12.9775801,77.5642202,Magadi Road,BTP074 - Leprosy Hospital Junction,27.488319615374262,0.0,100.0,0.0,0.0,0.0,48.63333539606011,0.0,51.30637242162633,45.0,19.241823730761983
2645,"12.924,77.61",12.923782357142857,77.60963107142857,Mico Layout,No Junction,20.873776064930812,57.14285714285714,0.0,0.769230769230769,15.372740182581499,0.0,39.10032462174921,13.304347826086957,66.21578974603348,31.42857142857143,19.223465300226017
2646,"12.916,77.61",12.91598605,77.61010205,Mico Layout,"BTP163 - 16th Main Road, BTM Layout",27.45940414413604,0.0,100.0,0.641025641025641,0.0,16.935483870967744,39.10032462174921,-16.935483870967744,32.3277497996343,45.0,19.22158290089523
2647,"12.987,77.568",12.987192100000001,77.56788448695652,Sheshadripuram,No Junction,27.427452338610223,60.86956521739131,0.0,3.6057692307692304,0.0,10.23041474654378,34.5561436235206,-10.23041474654378,39.84173508262706,33.478260869565226,19.199216637027156
2648,"12.961,77.568",12.96050405588086,77.56847553,Chamarajpet,BTP213 - Royan Circle,27.402191196535185,0.0,100.0,1.9230769230769231,0.0,0.0,51.537909226816545,0.0,51.30637242162633,45.0,19.181533837574626
